years_bp,gisp2_temp_c,epica_co2_ppm,solar_delta_14c,geomagnetic_vadm,global_sea_level_anomaly_m
2070,-29.58488,277.1691489361702,-12.5,8.25,5.811679574829721
2080,-29.6496,277.05212765957447,-11.3,8.226,5.789618893539732
2090,-29.6952,276.9351063829787,-9.1,8.182,5.767355191981424
2100,-29.752533333333332,276.8900709219858,-9.0,8.18,5.74489346749226
2110,-29.793599999999998,276.87588652482265,-8.8,8.176,5.7222387174097005
2120,-29.852945454545456,276.86170212765956,-9.8,8.196,5.6993959390712075
2130,-29.9149,276.8475177304964,-11.5,8.23,5.6763701298142415
2140,-30.025039999999997,276.8333333333333,-9.0,8.18,5.653166286976265
2150,-30.10736,276.8191489361702,-11.1,8.222,5.629789407894736
2160,-30.107636363636363,276.8049645390071,-14.7,8.294,5.60624448990712
2170,-30.024,276.790780141844,-12.7,8.254,5.582536530350877
2180,-29.987636363636366,276.77659574468083,-13.2,8.264,5.558670526563467
2190,-29.98890909090909,276.76241134751774,-14.3,8.286,5.534651475882353
2200,-30.02392,276.7482269503546,-11.1,8.222,5.510484375644995
2210,-30.16648,276.7340425531915,-11.1,8.222,5.486174223188855
2220,-30.352639999999997,276.71985815602835,-10.7,8.214,5.461726015851394
2230,-30.52229090909091,276.70567375886526,-7.4,8.148,5.437144750970072
2240,-30.581244444444444,276.7,-4.1,8.082,5.412435425882354
2250,-30.56128,276.7,-2.8,8.056,5.387603037925696
2260,-30.637054545454546,276.7,-0.8,8.016,5.362652584437565
2270,-30.746311111111112,276.7302013422819,3.3,7.934,5.337589062755418
2280,-30.73408,276.79060402684564,6.7,7.866,5.312417470216718
2290,-30.69068,276.8510067114094,6.3,7.874,5.287142804158927
2300,-30.53130909090909,276.9114093959731,2.9,7.942,5.2617700619195045
2310,-30.35328,276.9718120805369,0.1,7.998,5.2363042408359135
2320,-30.1906,277.03221476510066,-0.2,8.004,5.210750338245614
2330,-30.11044,277.09261744966443,-0.5,8.01,5.185113351486069
