years_bp,gisp2_temp_c
3759,-30.3796
3772,-30.5124
3784,-30.5568
3796,-30.768
3808,-30.7912
3817,-30.85
3832,-31.008
3843,-31.0768
3855,-31.046
3867,-31.0388
3880,-31.09
3888,-31.156
3904,-31.1772
3916,-31.1752
3929,-31.2212
3941,-31.2308
3953,-31.1632
3966,-31.088
3978,-31.0604
3989,-31.0708
3989,-31.0932
4016,-30.9952
4016,-30.914
4029,-30.9148
4041,-30.9116
4054,-30.7012
4067,-30.6292
4079,-30.6284
4092,-30.5092
4103,-30.4428
4117,-30.3648
4130,-30.3132
4143,-30.3044
4156,-30.2968
4168,-30.3596
4182,-30.4568
4195,-30.4828
4207,-30.3596
4219,-30.2096
4231,-30.184
4244,-30.1632
4256,-30.1116
4269,-30.2252
4294,-30.4428
4294,-30.4512
4307,-30.6972
4320,-30.7604
4332,-30.8104
4345,-30.9116
4357,-30.9476
4370,-31.0528
4380,-31.0964
4395,-31.026
4409,-31.0648
4421,-31.19
4433,-31.3324
4445,-31.4752
4460,-31.5024
4473,-31.4716
4485,-31.4972
4498,-31.4992
4510,-31.4524
4520,-31.1728
4536,-31.0408
4549,-31.0936
4562,-31.1496
4575,-31.1792
4588,-31.262
4602,-31.5564
4615,-31.7592
4628,-31.6288
4641,-31.546
4654,-31.5604
4667,-31.492
4680,-31.524
4692,-31.6804
4706,-31.7636
4719,-31.8592
4731,-31.9392
4744,-31.99
4759,-32.0408
4771,-31.9772
4784,-31.9276
4798,-31.9264
4811,-31.6268
4824,-31.1784
4835,-31.0256
4851,-31.0276
4857,-31.002
4878,-30.888
4891,-30.8236
4904,-30.7664
4917,-30.6044
4930,-30.526
4943,-30.3604
4957,-30.2396
4970,-30.24
4983,-30.2272
4996,-30.0832
5009,-29.9044
5023,-29.9024
5037,-30.1796
5051,-30.3712
5065,-30.3268
5079,-30.25
5092,-30.2488
5106,-30.3864
5120,-30.3256
5134,-30.1728
5147,-30.114
5161,-29.972
5175,-29.9844
5189,-30.0092
5203,-29.9588
5217,-30.0732
5217,-30.1352
5231,-30.1988
5246,-30.1508
5260,-30.1524
5274,-30.274
5288,-30.3996
5302,-30.4916
5327,-30.656
5345,-30.9896
5360,-31.2688
5375,-31.4068
5389,-31.49
5402,-31.4604
5417,-31.5168
5431,-31.5164
5444,-31.398
5458,-31.2252
5473,-31.1188
5488,-31.0236
5502,-30.9024
5517,-30.8612
5532,-30.7296
5547,-30.4972
5562,-30.2972
5577,-30.0928
5591,-30.0256
5606,-30.0888
5621,-30.0264
5636,-29.9068
5650,-29.9324
5665,-30.0268
5681,-30.1428
5696,-30.2084
5711,-30.2144
5727,-30.34
5743,-30.4028
5759,-30.402
5775,-30.4208
5791,-30.5328
5807,-30.702
5822,-30.5928
5839,-30.4672
5854,-30.5316
5869,-30.5912
5884,-30.6264
5900,-30.5388
5915,-30.4428
5930,-30.4052
5945,-30.308
5960,-30.2208
5975,-30.286
5990,-30.3368
6005,-30.3084
6020,-30.2136
6034,-30.3616
6050,-30.6112
6065,-30.7188
6080,-30.766
6096,-30.658
6111,-30.5184
6127,-30.5828
6144,-30.6424
6160,-30.648
6176,-30.6684
6191,-30.8152
6205,-30.8952
6220,-30.928
6236,-30.9564
6253,-31.1336
6268,-31.1204
6285,-30.8376
6301,-30.7268
6318,-30.7548
6333,-30.8388
6348,-30.9292
6365,-30.8764
6380,-30.8852
6395,-30.9984
6411,-30.9712
6426,-30.8764
6441,-30.786
6454,-30.6648
6469,-30.5268
6489,-30.5572
6505,-30.7032
6521,-30.8692
6538,-30.9756
6553,-30.9136
6569,-30.9204
6585,-31.0852
6600,-31.0988
6615,-30.89
6632,-30.8152
6647,-30.8988
6663,-30.9104
6679,-30.9364
6695,-30.9736
6711,-30.8472
6727,-30.6172
6743,-30.3368
6759,-30.124
6776,-29.9692
6792,-29.6656
6809,-29.434
6826,-29.4184
6843,-29.4084
6860,-29.226
6877,-28.9944
6893,-28.9868
6909,-28.9756
6925,-28.8252
6942,-28.9184
6958,-29.0596
6974,-29.1308
6974,-29.1676
6991,-29.4676
7008,-29.916
7043,-30.3196
7043,-30.2892
7060,-30.474
7077,-30.6828
7095,-30.9452
7112,-30.9768
7125,-30.9636
7145,-31.1032
7163,-31.132
7180,-31.2808
7197,-31.4364
7213,-31.42
7230,-31.2596
7247,-31.1212
7265,-30.976
7282,-30.78
7299,-30.6744
7318,-30.5712
7333,-30.5724
7351,-30.472
7369,-30.2812
7386,-30.15
7403,-29.9776
7419,-29.8564
7436,-29.8072
7454,-30.0108
7471,-30.1188
7487,-30.1256
7504,-30.2656
7522,-30.308
7539,-30.2796
7556,-30.0988
7574,-30.1288
7592,-30.2872
7608,-30.2936
7625,-30.2704
7642,-30.0944
7659,-29.9088
7678,-29.592
7695,-29.3396
7713,-29.2832
7730,-29.1944
7746,-29.1532
7765,-28.928
7783,-28.8632
7800,-28.8588
7817,-28.702
7834,-28.712
7851,-28.7472
7868,-28.9236
7885,-29.1064
7903,-29.1612
7921,-29.162
7939,-29.1468
7957,-29.1308
7974,-29.2384
7993,-29.6408
8011,-29.9208
8029,-30.0864
8046,-30.2788
8064,-30.4052
8083,-30.5756
8100,-30.5459
8119,-30.7749
8136,-30.8758
8153,-31.3526
8171,-31.8086
8190,-32.2392
8210,-32.4422
8229,-32.4
8250,-32.3196
8269,-32.2388
8290,-32.1624
8309,-32.0798
8330,-32.0107
8348,-31.9529
8365,-31.7431
8384,-31.3673
8404,-30.9511
8424,-30.6043
8442,-30.389
8461,-30.3226
8480,-30.381
8499,-30.4508
8519,-30.4508
8538,-30.3911
8558,-30.3098
8577,-30.2165
8597,-30.134
8615,-30.1719
8632,-30.1798
8651,-30.1391
8670,-30.1621
8689,-30.0722
8707,-29.9208
8726,-29.8419
8747,-29.8171
8766,-29.7985
8785,-29.8242
8803,-29.8979
8821,-29.8682
8842,-29.6979
8862,-29.5147
8883,-29.4211
8903,-29.3893
8923,-29.4413
8941,-29.5777
8961,-29.6355
8980,-29.6404
9000,-29.6642
9020,-29.6547
9041,-29.5281
9061,-29.4456
9082,-29.5914
9100,-29.8447
9120,-29.9694
9139,-29.9547
9158,-30.0505
9177,-30.1407
9198,-30.1385
9198,-30.1777
9217,-30.2914
9238,-30.2703
9259,-30.1954
9281,-30.2263
9302,-30.0948
9323,-29.9703
9345,-29.9569
9365,-29.9826
9386,-30.0367
9407,-30.0664
9425,-30.1734
9446,-30.237
9468,-30.2707
9488,-30.3853
9510,-30.4691
9532,-30.6086
9555,-30.7177
9578,-30.6242
9601,-30.6119
9623,-30.4966
9646,-30.1771
9670,-29.9141
9693,-29.8596
9715,-29.8865
9741,-29.8489
9763,-29.9541
9786,-30.1003
9810,-30.3196
9833,-30.422
9857,-30.333
9879,-30.4648
9902,-30.6752
9925,-30.5437
9971,-30.4844
9996,-30.5627
10016,-30.4963
10028,-30.4391
10052,-30.4174
10064,-30.415
10075,-30.4835
10099,-30.5596
10111,-30.5419
10122,-30.6009
10134,-30.678
10147,-30.7434
10160,-30.8129
10172,-30.8982
10172,-30.8749
10186,-30.9667
10199,-31.0648
10212,-31.1572
10225,-31.2422
10239,-31.3544
10252,-31.4752
10264,-31.5973
10276,-31.7171
10288,-31.8275
10300,-31.9245
10313,-32.0223
10323,-32.1138
10336,-32.2064
10350,-32.2957
10364,-32.3982
10389,-32.5263
10401,-32.6119
10414,-32.6914
10428,-32.7609
10439,-32.8025
10439,-32.83
10452,-32.8578
10468,-32.8847
10468,-32.9067
10481,-32.9346
10494,-32.9755
10509,-33.0171
10522,-33.0783
10537,-33.1569
10551,-33.1918
10565,-33.2541
10580,-33.2725
10593,-33.3263
10606,-33.389
10620,-33.4807
10634,-33.5587
10648,-33.6404
10662,-33.7566
10678,-33.8551
10692,-33.9459
10706,-34.0437
10720,-34.1251
10734,-34.204
10747,-34.2847
10762,-34.3801
10762,-34.415
10792,-34.5911
10806,-34.6954
10819,-34.8006
10819,-34.8495
10833,-34.9272
10847,-35.0125
10862,-35.0468
10877,-35.0771
10891,-35.1263
10921,-35.5526
10937,-35.5352
10951,-35.544
10965,-34.963
10980,-35.1465
10995,-35.404
11011,-35.4523
11025,-35.3474
11039,-35.618
11057,-35.7361
11071,-36.2211
11087,-36.208
11101,-35.9327
11120,-36.0682
11135,-36.3914
11149,-36.304
11163,-35.9939
11180,-35.3911
11197,-35.4523
11213,-35.3691
11229,-35.4566
11243,-35.3954
11258,-35.4609
11274,-35.8061
11289,-36.3661
11307,-36.422
11324,-37.7459
11339,-37.7728
11354,-38.3945
11371,-38.7716
11389,-39.4242
11408,-39.4547
11427,-38.8125
11446,-38.7563
11462,-38.0428
11479,-37.3495
11496,-36.6361
11512,-36.6187
11527,-36.5226
11542,-35.8847
11558,-35.8969
11576,-36.3355
11594,-36.152
11611,-36.6413
11628,-37.8034
11647,-39.8676
11666,-41.5342
11666,-42.4037
11690,-44.3364
11723,-45.4358
11755,-46.8731
11790,-46.4679
11823,-47.1024
11857,-48.3028
11889,-47.6682
11922,-47.6911
11959,-47.737
11993,-46.4908
12029,-46.6132
12063,-46.5673
12104,-46.2844
12140,-46.9954
12174,-47.3471
12213,-47.7217
12246,-47.6223
12280,-47.2018
12322,-47.5306
12322,-47.3801
12401,-47.6758
12438,-48.3028
12475,-48.1881
